Name,Price,Market cap,Volume (24),Supply
STEPNGMT,0.17,220.8M,53.5M,1.3B
SUISUI,0.42,356.4M,105.6M,860.4M
SafePalSFP,0.66,277.9M,4.2M,420.8M
SingularityNETAGIX,0.22,266.8M,37.6M,1.2B
SolanaSOL,34.12,14.3B,1.2B,419.3M
StacksSTX,0.58,825.6M,43.0M,1.4B
Stellar LumensXLM,0.11,3.2B,149.0M,27.9B
Synthetix Network TokenSNX,2.14,583.5M,38.0M,273.3M
THORChainRUNE,2.69,907.9M,206.3M,338.9M
TRONTRX,0.0907,8.0B,232.8M,88.8B
TellorTRB,105.83,263.6M,142.0M,2.5M
TerraLUNA,0.000060,348.5M,21.7M,5.8T
Tether GoldXAUt,"1,891.01",466.2M,3.7M,246.5K
TetherUSDT,0.94,79.8B,27.2B,84.6B
TezosXTZ,0.70,663.7M,20.2M,958.1M
The GraphGRT,0.0974,902.3M,56.2M,9.3B
The SandboxSAND,0.32,669.1M,79.0M,2.1B
Theta FuelTFUEL,0.0354,224.2M,5.6M,6.3B
Theta NetworkTHETA,0.64,642.9M,17.1M,1.0B
ThresholdT,0.0208,193.6M,16.2M,9.3B
ToncoinTON,2.12,7.3B,61.5M,3.4B
TrueUSDTUSD,0.94,3.2B,227.2M,3.3B
Trust Wallet TokenTWT,0.99,412.3M,17.1M,416.6M
UNUS SED LEOLEO,3.73,3.5B,478.1K,928.7M
USDCUSDC,0.94,23.5B,3.3B,24.9B
USDDUSDD,0.94,683.4M,18.9M,725.3M
UniswapUNI,3.91,2.3B,117.8M,588.2M
WAXWAXP,0.0566,190.8M,89.0M,3.4B
WOO NetworkWOO,0.20,355.8M,14.4M,1.8B
WorldcoinWLD,1.89,209.6M,107.3M,111.1M
Wrapped BitcoinWBTC,"32,347.04",5.3B,123.7M,163.8K
XDC NetworkXDC,0.0485,670.4M,10.3M,13.9B
XRPXRP,0.56,30.0B,2.1B,53.6B
ZcashZEC,26.61,434.3M,48.4M,16.3M
ZilliqaZIL,0.0175,302.6M,20.7M,17.4B
aelfELF,0.34,229.9M,10.3M,682.6M
dYdXDYDX,2.21,405.4M,86.5M,183.8M
eCashXEC,0.000026,511.5M,14.3M,19.5T
vechainVET,0.0176,1.3B,41.0M,72.7B
