Name,Price,Market cap,Volume (24),Supply
TellorTRB,106.47,264.8M,52.7M,2.5M
TerraLUNA,0.000059,344.5M,20.3M,5.8T
Tether GoldXAUt,"1,886.37",465.0M,4.7M,246.5K
TetherUSDT,0.95,80.5B,27.0B,84.8B
TezosXTZ,0.71,675.1M,19.8M,958.1M
The GraphGRT,0.0994,921.1M,56.0M,9.3B
The SandboxSAND,0.32,665.3M,84.2M,2.1B
Theta FuelTFUEL,0.0383,242.5M,25.6M,6.3B
Theta NetworkTHETA,0.71,708.7M,98.9M,1.0B
ThresholdT,0.0230,214.8M,120.6M,9.3B
ToncoinTON,2.07,7.1B,70.3M,3.4B
TrueUSDTUSD,0.95,3.2B,205.4M,3.3B
Trust Wallet TokenTWT,1.00,415.0M,15.2M,416.6M
UNUS SED LEOLEO,3.76,3.5B,601.9K,928.7M
USDCUSDC,0.95,23.5B,3.2B,24.7B
USDDUSDD,0.95,686.5M,17.8M,725.3M
UniswapUNI,3.91,2.3B,114.7M,588.2M
WAXWAXP,0.0572,193.0M,53.1M,3.4B
WOO NetworkWOO,0.20,356.8M,14.4M,1.8B
WorldcoinWLD,1.82,202.5M,107.9M,111.2M
Wrapped BitcoinWBTC,"32,975.19",5.4B,121.5M,163.8K
XDC NetworkXDC,0.0486,674.2M,7.3M,13.9B
XRPXRP,0.58,30.8B,1.6B,53.6B
ZcashZEC,26.20,428.2M,51.8M,16.3M
ZilliqaZIL,0.0187,324.7M,38.1M,17.4B
aelfELF,0.34,232.1M,6.3M,682.6M
dYdXDYDX,2.17,399.0M,88.3M,183.8M
eCashXEC,0.000026,511.5M,13.5M,19.5T
vechainVET,0.0175,1.3B,38.8M,72.7B
