Name,Price,Market cap,Volume (24),Supply
Tether GoldXAUt,"1,876.42",462.6M,2.4M,246.5K
TetherUSDT,0.94,79.9B,42.6B,84.9B
TezosXTZ,0.76,719.2M,27.6M,958.1M
The GraphGRT,0.11,990.5M,87.7M,9.3B
The SandboxSAND,0.35,723.5M,133.1M,2.1B
Theta FuelTFUEL,0.0386,244.4M,11.8M,6.3B
Theta NetworkTHETA,0.71,714.1M,36.0M,1.0B
ThresholdT,0.0238,221.9M,70.9M,9.3B
ToncoinTON,2.09,7.2B,34.4M,3.4B
TrueUSDTUSD,0.94,3.1B,479.8M,3.3B
Trust Wallet TokenTWT,1.07,445.3M,32.2M,416.6M
UNUS SED LEOLEO,3.65,3.4B,918.0K,928.7M
USDCUSDC,0.94,23.3B,5.4B,24.8B
USDDUSDD,0.94,682.1M,20.3M,725.3M
UniswapUNI,4.45,2.6B,483.4M,588.2M
WOO NetworkWOO,0.22,386.7M,25.9M,1.8B
Wrapped BitcoinWBTC,"33,341.31",5.5B,257.1M,163.8K
XDC NetworkXDC,0.0485,672.7M,15.1M,13.9B
XRPXRP,0.58,31.0B,1.7B,53.6B
ZcashZEC,26.90,439.9M,53.4M,16.3M
ZilliqaZIL,0.0190,329.6M,33.7M,17.4B
aelfELF,0.34,233.3M,8.4M,682.8M
dYdXDYDX,2.23,409.5M,125.3M,183.8M
eCashXEC,0.000027,532.2M,17.3M,19.5T
vechainVET,0.0183,1.3B,38.2M,72.7B
