Name,Price,Market cap,Volume (24),Supply
1inch1INCH,0.30,308.5M,47.4M,1.0B
APENFTNFT,0.00000034,332.3M,15.8M,990.1T
Aave CRV V2aCRVv2,0.49,438.5M,122.5M,896.7M
Aave ENS V2aENSv2,7.63,229.5M,18.0M,30.1M
Aave MKR V2aMKRv2,"1,266.77",1.2B,95.2M,977.6K
Aave SNX V2aSNXv2,2.33,637.9M,60.8M,273.5M
Aave UNI V2aUNIv2,4.46,2.6B,483.9M,588.2M
AaveAAVE,90.02,1.3B,394.9M,14.6M
Akash NetworkAKT,0.96,212.3M,4.2M,220.8M
AlgorandALGO,0.11,853.8M,53.5M,7.9B
AnkrANKR,0.0226,226.6M,36.3M,10.0B
ApeCoinAPE,1.27,471.1M,58.5M,368.6M
AptosAPT,6.64,1.6B,192.8M,247.8M
ArbitrumARB,0.96,1.2B,441.7M,1.3B
ArweaveAR,5.86,383.3M,15.9M,65.5M
AstarASTR,0.0525,280.5M,16.5M,5.3B
AvalancheAVAX,11.32,4.0B,416.4M,355.1M
Axie InfinityAXS,5.25,744.7M,88.1M,141.8M
BNBBNB,217.61,33.0B,444.5M,151.7M
Basic Attention TokenBAT,0.20,302.3M,22.9M,1.5B
Binance USDBUSD,0.94,1.9B,533.3M,2.0B
BitTorrent(New)BTT,0.00000044,416.1M,19.4M,951.4T
Bitcoin CashBCH,230.06,4.5B,226.0M,19.5M
Bitcoin GoldBTG,14.35,250.2M,38.1M,17.5M
Bitcoin SVBSV,46.16,889.1M,76.0M,19.3M
BitcoinBTC,"33,384.48",652.1B,25.1B,19.5M
Bitget TokenBGB,0.46,643.6M,17.5M,1.4B
BlurBLUR,0.23,236.2M,73.1M,1.0B
CardanoADA,0.29,10.3B,338.9M,35.2B
CasperCSPR,0.0340,389.1M,6.2M,11.4B
CelestiaTIA,2.43,342.1M,373.1M,141.0M
CeloCGLD,0.56,288.1M,68.2M,518.4M
ChainlinkLINK,10.61,5.9B,769.1M,556.8M
ChiaXCH,25.63,228.7M,34.6M,8.9M
ChilizCHZ,0.0669,507.7M,69.8M,7.6B
CompoundCOMP,46.34,366.0M,85.5M,7.9M
ConfluxCFX,0.15,519.3M,77.3M,3.4B
Convex FinanceCVX,2.87,234.8M,12.6M,81.7M
CosmosATOM,7.49,2.8B,162.7M,372.6M
Crypto.com CoinCRO,0.0601,1.5B,7.7M,25.3B
Curve DAO TokenCRV,0.49,439.6M,122.4M,896.7M
DaiDAI,0.94,5.0B,202.5M,5.3B
DashDASH,27.94,321.9M,57.5M,11.5M
DecentralandMANA,0.38,718.6M,153.5M,1.9B
DogecoinDOGE,0.0660,9.4B,500.9M,141.7B
EOSEOS,0.62,688.6M,131.9M,1.1B
Enjin CoinENJ,0.26,261.2M,34.7M,1.0B
Ethereum ClassicETC,16.69,2.4B,248.3M,143.8M
Ethereum Name ServiceENS,7.55,229.5M,18.0M,30.1M
EthereumETH,"1,729.86",208.1B,11.2B,120.3M
FLAREFLR,0.0102,273.7M,6.3M,27.0B
FLOKIFLOKI,0.000031,292.2M,65.0M,9.5T
FantomFTM,0.24,671.0M,101.7M,2.8B
Fetch.aiFET,0.34,280.4M,97.2M,812.3M
FilecoinFIL,3.71,1.7B,164.3M,463.3M
First Digital USDFDUSD,0.94,555.1M,2.3B,589.6M
FlowFLOW,0.52,535.4M,56.0M,1.0B
Frax ShareFXS,5.90,441.8M,48.7M,74.9M
GMXGMX,43.81,401.4M,24.2M,9.2M
Gala V1GALA,0.0183,466.8M,146.0M,25.5B
GateTokenGT,3.67,348.7M,2.8M,94.9M
GnosisGNO,102.27,264.8M,5.8M,2.6M
Golem (Old)GNT,0.21,210.5M,7.2M,1.0B
GolemGLM,0.21,210.6M,7.2M,1.0B
HederaHBAR,0.0518,1.7B,104.9M,33.5B
HeliumHNT,1.42,204.7M,2.6M,143.9M
HoloHOT,0.0014,242.8M,19.2M,172.3B
Huobi TokenHT,2.31,375.1M,7.2M,162.2M
ICONICX,0.21,205.5M,7.9M,971.0M
IOTAIOTA,0.16,465.6M,14.1M,3.0B
ImmutableIMX,0.65,791.0M,39.0M,1.2B
InjectiveINJ,14.56,1.2B,162.5M,83.8M
Internet ComputerICP,3.85,1.7B,32.2M,447.9M
IoTeXIOTX,0.0221,209.0M,10.5M,9.4B
JUSTJST,0.0347,308.9M,252.6M,8.9B
KavaKAVA,0.65,583.7M,20.6M,895.5M
KlaytnKLAY,0.13,415.9M,16.7M,3.2B
KuCoin TokenKCS,4.37,423.1M,1.3M,96.7M
Lido DAO TokenLDO,1.73,1.5B,80.8M,890.2M
LitecoinLTC,66.20,4.9B,404.6M,73.8M
LoopringLRC,0.20,260.0M,19.7M,1.3B
MX TOKENMX,2.65,266.3M,2.9M,100.6M
MakerMKR,"1,268.84",1.2B,95.1M,977.6K
MantleMNT,0.38,1.2B,75.6M,3.1B
Mask NetworkMASK,3.16,257.4M,126.4M,82.1M
MinaMINA,0.56,557.2M,53.9M,994.9M
MoneroXMR,161.61,3.0B,119.4M,18.4M
MultiversXEGLD,30.52,797.8M,40.4M,26.2M
NEAR ProtocolNEAR,1.38,1.4B,275.1M,990.2M
NEMXEM,0.0308,276.5M,9.1M,9.0B
NeoNEO,9.45,666.7M,97.0M,70.5M
NexoNEXO,0.60,336.7M,2.7M,560.0M
OKBOKB,42.94,2.6B,7.7M,60.0M
Oasis NetworkROSE,0.0563,369.3M,45.5M,6.5B
Ocean ProtocolOCEAN,0.38,213.3M,35.5M,568.4M
OptimismOP,1.34,1.2B,152.6M,880.4M
PAX GoldPAXG,"1,840.50",450.5M,8.9M,243.8K
PancakeSwapCAKE,1.47,335.2M,112.9M,226.7M
Paxos StandardPAX,0.94,415.9M,4.8M,443.8M
PepePEPE,0.00000109,451.9M,156.6M,417.1T
PolkadotDOT,4.46,5.6B,249.3M,1.3B
PolygonMATIC,0.63,5.9B,386.2M,9.2B
ProtocolZRX,0.25,213.6M,36.7M,847.5M
QtumQTUM,3.16,331.4M,83.9M,104.8M
QuantQNT,96.91,1.2B,25.3M,12.1M
RavencoinRVN,0.0168,220.2M,12.2M,13.1B
RenderRNDR,2.31,860.7M,92.3M,371.9M
Rocket PoolRPL,22.26,440.0M,4.3M,19.8M
SHIBA INUSHIB,0.00000754,4.4B,169.7M,589.3T
STEPNGMT,0.18,232.5M,67.3M,1.3B
SUISUI,0.44,426.8M,138.7M,965.6M
SafePalSFP,0.67,282.9M,4.9M,420.8M
SiacoinSC,0.0037,202.9M,18.3M,55.5B
SingularityNETAGIX,0.22,273.6M,56.2M,1.2B
SolanaSOL,41.11,17.2B,3.6B,419.5M
StacksSTX,0.60,857.9M,65.5M,1.4B
StatusSNT,0.0519,201.3M,338.3M,3.9B
Stellar LumensXLM,0.11,3.2B,132.8M,27.9B
SushiSwapSUSHI,1.16,270.0M,345.1M,231.7M
Synthetix Network TokenSNX,2.34,637.1M,60.8M,273.5M
THORChainRUNE,2.77,937.2M,169.8M,338.8M
TRONTRX,0.0946,8.4B,324.8M,88.8B
TellorTRB,104.28,260.7M,48.4M,2.5M
TerraLUNA,0.000061,354.3M,27.3M,5.8T
